@id,@type,name,amenity,cuisine,@lat,@lon
26593339,node,Pizzeria Don Giovanni,restaurant,,48.3884540,11.7607545
27558408,node,Casa Della Pizza Alma,restaurant,italian;pizza,48.4650367,11.8618825
148583675,node,Pizzeria Taormina,restaurant,italian,48.3027461,11.3592902
185542934,node,Ristorante Pizzeria Al Ruscello,restaurant,italian,48.2261182,11.6740107
198212895,node,Pizza Hut,restaurant,pizza,48.1756612,11.5594734
219688132,node,Giuliano Pikke,restaurant,pizza,48.1498914,11.5602390
243494888,node,da noi - Pizzeria & Ristorante,restaurant,italian,48.0756675,11.6569713
249520256,node,Bistro Pizzeria Piccolo Mondo,restaurant,italian,47.7755578,11.1286063
253448613,node,pipapi's,restaurant,pizza;greek;pasta;italian,48.0515756,11.6050143
255944476,node,La Fattoria,restaurant,pizza,48.1069547,11.4527431
258643977,node,Il Paradiso,restaurant,italian;pasta;pizza,48.0819466,11.6263468
260413430,node,Chili Pizza,fast_food,pizza;kebab;burger;regional;italian;turkish,48.0467599,11.9675666
263886428,node,Antica,fast_food,pizza,48.1285341,11.5989288
264004572,node,Allora Pizzaservice,fast_food,pizza,48.1134848,11.6154455
266698148,node,Pizzeria Vicari,restaurant,italian;pizza,48.1311506,11.5966020
266841592,node,Rusticone,restaurant,pizza;italian,48.1452755,11.3018214
267550776,node,Pizzeria Roma,restaurant,pizza,48.1094841,12.1156580
269754938,node,Pizza Bob,fast_food,pizza,48.3125027,10.9620759
270507122,node,Pizza Fabrique,restaurant,noodle;pizza;salad,48.1120042,11.6757823
274260432,node,Pinocchio,restaurant,pizza,47.8998024,11.3635954
280423109,node,Cafe Pizzeria Da Michele,restaurant,italian,47.9086368,11.6746648
288694736,node,Kreiller's,restaurant,international;pasta;pizza,48.1277397,11.6339939
289179131,node,Ristorante-Pizzeria Papà Franco,restaurant,italian,48.1759067,11.4657050
291357953,node,Rama,restaurant,indian;pizza,48.3079761,11.6590477
292376211,node,Al Forno,restaurant,pizza;italian,48.1391643,11.8544734
292649995,node,Pizzeria Maurizio,restaurant,italian,47.9466024,11.7935514
296957927,node,Servus,fast_food,pizza,48.1407438,11.6813099
303801051,node,La Giara II,restaurant,italian;pizza,48.1968206,11.5454253
304770119,node,Pöckinger Pizza-Service,fast_food,pizza;indian,47.9616689,11.3070008
305387019,node,Pizza Moment Heimservice Oberschleißheim,fast_food,pizza,48.2527365,11.5478924
305439956,node,Pizzeria Sorrento,restaurant,italian;pizza,47.8643589,12.0005349
305441453,node,Terra Mia,restaurant,italian;pasta;pizza,47.8646756,12.0090080
305443364,node,Pizza Peppone,fast_food,italian;pizza,47.8661362,12.0148451
305693097,node,Risto-Pizza Ciro Borrelli,restaurant,italian;pizza;pasta,48.2070105,11.5351003
306549629,node,Joe Marino,restaurant,italian;burger;pizza,48.1201214,11.4276589
306610198,node,Lieferservice Chili-Pizza,restaurant,burger;kebab;pasta;pizza,47.8629804,12.0074389
307463691,node,La Bella,fast_food,pizza,48.1576972,11.6422264
307463692,node,Avaya Pizzeria und Kebap,fast_food,kebab;pizza,48.1584196,11.6423149
307535899,node,Saletta Giesing,restaurant,pizza;local,48.1150963,11.5699427
310535817,node,Zum Alten Wirt,restaurant,regional;croatian;italian;pizza,47.8910166,12.0794831
312289593,node,Pizzeria da Giuseppe Marechiaro,restaurant,,48.3182719,11.5604712
312346816,node,PRETO E BRANCO,restaurant,pizza,48.3035128,11.4951272
313713168,node,Ristorante Pizzeria Al Dente,restaurant,pizza;italian,48.1664034,11.5792711
315953316,node,Pizza Verde,restaurant,pizza,48.1489444,11.5451948
318646730,node,Ristorante Perte,restaurant,pizza;italian,48.0976529,11.5818302
318709638,node,Mama Pizza,fast_food,pizza,48.1287857,11.6142386
318766281,node,PizzaExpress,restaurant,pizza,48.1300414,11.3633329
320746276,node,Korfu,restaurant,greek;pizza,48.1712970,11.7203222
322916653,node,Manto's Pizza,restaurant,italian;pizza,48.1295677,11.5423436
329332128,node,Domino's,fast_food,pizza,48.1338813,11.5224028
332739269,node,Il Castagno,restaurant,italian;pizza,48.1405253,11.5487312
332790697,node,Pizza Avanti,fast_food,pizza,48.1497454,11.5607384
342211070,node,Pizza Avanti,fast_food,pizza,48.1405242,11.5182524
343261983,node,Call a Pizza,fast_food,pizza,48.1257798,11.5999016
345275647,node,Marco Pizza,restaurant,pizza,48.2739883,12.1492358
345796251,node,Mozzamo,restaurant,italian_pizza;turkish,48.1512940,11.5727329
347643805,node,Mike's Pizza,fast_food,pizza,48.1941811,11.5470038
